atom_F
Pin,Name,Side
BC38,DRAM1_DQ[04],left
BD36,DRAM1_DQ[05],left
BF42,DRAM1_DQ[06],left
BC44,DRAM1_DQ[07],left
BH32,DRAM1_DQ[08],left
BG32,DRAM1_DQ[09],left
BG36,DRAM1_DQ[10],left
BJ37,DRAM1_DQ[11],left
BG33,DRAM1_DQ[12],left
BJ33,DRAM1_DQ[13],left
BG37,DRAM1_DQ[14],left
BH38,DRAM1_DQ[15],left
AU36,DRAM1_DQ[16],left
AT36,DRAM1_DQ[17],left
AV40,DRAM1_DQ[18],left
AT40,DRAM1_DQ[19],left
BA36,DRAM1_DQ[20],left
AV36,DRAM1_DQ[21],left
AY42,DRAM1_DQ[22],left
AY40,DRAM1_DQ[23],left
BJ41,DRAM1_DQ[24],left
BG41,DRAM1_DQ[25],left
BJ45,DRAM1_DQ[26],left
BH46,DRAM1_DQ[27],left
BG40,DRAM1_DQ[28],left
BH40,DRAM1_DQ[29],left
BH48,DRAM1_DQ[30],left
BH47,DRAM1_DQ[31],left
AY52,DRAM1_DQ[32],left
AY51,DRAM1_DQ[33],left
AP52,DRAM1_DQ[34],left
AP51,DRAM1_DQ[35],left
AW51,DRAM1_DQ[36],left
AW53,DRAM1_DQ[37],left
AR51,DRAM1_DQ[38],left
AR53,DRAM1_DQ[39],left
AP47,DRAM1_DQ[40],left
AP45,DRAM1_DQ[41],left
AK40,DRAM1_DQ[42],left
AM41,DRAM1_DQ[43],left
AP48,DRAM1_DQ[44],left
AP50,DRAM1_DQ[45],left
AK42,DRAM1_DQ[46],left
AH40,DRAM1_DQ[47],left
AM45,DRAM1_DQ[48],left
AM47,DRAM1_DQ[49],left
AF48,DRAM1_DQ[50],left
AF50,DRAM1_DQ[51],left
AM48,DRAM1_DQ[52],left
AM50,DRAM1_DQ[53],left
AH44,DRAM1_DQ[54],left
AK45,DRAM1_DQ[55],left
AM52,DRAM1_DQ[56],left
AL51,DRAM1_DQ[57],left
AG53,DRAM1_DQ[58],left
AG51,DRAM1_DQ[59],left
AL53,DRAM1_DQ[60],left
AK51,DRAM1_DQ[61],left
AF52,DRAM1_DQ[62],left
AF51,DRAM1_DQ[63],left
BD40,DRAM1_DQSN[0],left
BH34,DRAM1_DQSN[1],left
AY38,DRAM1_DQSN[2],left
BG43,DRAM1_DQSN[3],left
AV52,DRAM1_DQSN[4],left
AP44,DRAM1_DQSN[5],left
AK48,DRAM1_DQSN[6],left
AJ51,DRAM1_DQSN[7],left
BF40,DRAM1_DQSP[0],left
BG35,DRAM1_DQSP[1],left
BA38,DRAM1_DQSP[2],left
BH44,DRAM1_DQSP[3],left
AU53,DRAM1_DQSP[4],left
AP42,DRAM1_DQSP[5],left
AK47,DRAM1_DQSP[6],left
AH52,DRAM1_DQSP[7],left
AT41,DRAM1_DRAMRST#,left
AY45,DRAM1_MA[00],left
BB47,DRAM1_MA[01],left
AW41,DRAM1_MA[02],left
BB44,DRAM1_MA[03],left
BB50,DRAM1_MA[04],left
BC53,DRAM1_MA[05],left
BB49,DRAM1_MA[06],left
BF50,DRAM1_MA[07],left
BC52,DRAM1_MA[08],left
BE52,DRAM1_MA[09],left
AY48,DRAM1_MA[10],left
BE51,DRAM1_MA[11],left
BD47,DRAM1_MA[12],left
BA51,DRAM1_MA[13],left
BH49,DRAM1_MA[14],left
BH50,DRAM1_MA[15],left
AP41,DRAM1_ODT[0],left
AT42,DRAM1_ODT[2],left
AV45,DRAM1_RAS#,left
BB51,DRAM1_WE#,left
