NB670
Pin,Name,Side
1,VIN,left
2,PGND,right
3,NC,right
4,PG,bottom
5,CLK,top
6,LDO,bottom
7,VOUT,right
8,SW1,right
9,SW2,right
10,BST,top
11,VCC,bottom
12,ENLDO,left
13,EN,left
14,AGND,right
15,SW3,right
16,SW4,right
