atom
Pin,Name
M45,DRAM0_RAS#
M47,VSS
M48,DRAM0_CKN[0]
M50,DRAM0_CKP[0]
M51,VSS
M52,DRAM0_DQSN[4]
N1,VSS
N3,USB_ULPI_DATA[5]
N16,VSS
N18,USB_V3P3_G3
N20,USB_V1P8_G3
N22,PCU_V3P3_G3
N24,GPIO_S5[23]
N26,GPIO_RCOMP
N28,CORE_VSS_SENSE
N30,DDI1_VDDEN
N32,MCSI_GPIO[10]
N34,RESERVED
N36,DRAM0_DQ[05]
N38,VSS
N51,VSS
N53,DRAM0_DQSP[4]
P2,USB_ULPI_DATA[6]
P3,USB_ULPI_NXT
P4,VSS
P6,RESERVED
P7,RESERVED
P9,VSS
P10,USB3DEV_RXP[0]
P12,USB3DEV_RXN[0]
P13,VSS
P14,MCSI_RCOMP
P16,VSS
P18,USB_V3P3_G3
P19,VSS
P20,VSS
P22,RTC_VCC
P24,VSS
P26,CORE_VCC_S3
P27,CORE_VCC_S3
P28,CORE_VCC_SENSE
P30,DDI1_DDCDATA
P32,VSS
P34,RESERVED
P35,VSS
P36,DRAM0_DQ[04]
P38,VSS
P40,DRAM0_DQ[02]
P41,DRAM0_DRAMRST#
P42,DRAM0_ODT[2]
P44,DRAM0_CS[0]#
P45,DRAM0_CS[2]#
P47,VSS
P48,DRAM0_CKN[2]
P50,DRAM0_CKP[2]
P51,DRAM0_DM[4]
P52,VSS
R1,RESERVED
R3,RESERVED
R51,DRAM0_DQ[38]
R53,DRAM0_DQ[39]
T2,RESERVED
T3,RESERVED
T4,MCSI3_CLKP
T6,MCSI3_CLKN
T7,MCSI1_CLKN
T9,MCSI1_CLKP
T10,MCSI1_DP[3]
T12,MCSI1_DN[3]
T13,MCSI2_DP[0]
T14,MCSI2_DN[0]
T40,VSS
T41,DRAM0_ODT[0]
T42,DRAM0_DQSP[5]
T44,DRAM0_DQSN[5]
T45,DRAM0_DQ[41]
T47,DRAM0_DQ[40]
T48,DRAM0_DQ[44]
T50,DRAM0_DQ[45]
T51,DRAM0_DQ[35]
T52,DRAM0_DQ[34]
U1,VSS
U3,VSS
U5,VSS
U6,VSS
U8,VSS
U9,VSS
U11,VSS
U12,VSS
U14,VSS
U16,USB_VSSA
U18,USB_V1P0_S3
U19,USB_V1P0_S3
U21,VSS
U22,UNCORE_V1P0_G3
U24,UNCORE_V1P8_G3
U25,PMC_V1P8_G3
U27,CORE_VCC_S3
U29,CORE_VCC_S3
U30,VSS
U32,VSS
U33,CORE_V1P05_S3
U35,CORE_V1P05_S3
U36,UNCORE_V1P35_S3_F4
U38,MIPI_V1P8_S3
U40,VSS
U42,VSS
U43,VSS
U45,VSS
U46,VSS
U48,VSS
U49,VSS
U51,VSS
U53,VSS
V2,RESERVED
V3,RESERVED
V4,RESERVED
V6,RESERVED
V7,VSS
V9,MCSI1_DP[2]
V10,MCSI1_DN[2]
V12,VSS
V13,MCSI2_CLKP
V14,MCSI2_CLKN
V16,VSS
V18,USB_HSIC_V1P24_G3
V19,VSS
V21,VSS
V22,UNCORE_V1P0_G3
V24,UNCORE_V1P0_S3
V25,PCU_V1P8_G3
V27,CORE_VCC_S3
V29,CORE_VCC_S3
V30,CORE_VCC_S3
V32,SVID_V1P0_S3
V33,CORE_V1P05_S3
V35,VSS
V36,UNCORE_V1P35_S3_F3
V38,DRAM_VDD_S4
V40,VSS
V41,DRAM0_DQ[43]
V42,DRAM0_DM[5]
V44,VSS
V45,DRAM0_DQ[48]
V47,DRAM0_DQ[49]
V48,DRAM0_DQ[52]
V50,DRAM0_DQ[53]
V51,VSS
V52,DRAM0_DQ[56]
W1,RESERVED
W3,RESERVED
W51,DRAM0_DQ[57]
W53,DRAM0_DQ[60]
Y2,RESERVED
Y3,RESERVED
Y4,RESERVED
Y6,RESERVED
Y7,VSS
Y9,VSS
Y10,VSS
Y12,MCSI1_DN[1]
Y13,MCSI1_DP[1]
Y14,VSS
Y16,VSS
Y18,USB3DEV_V1P0_S3
Y19,USB3_V1P0_G3
Y21,VSS
Y22,UNCORE_V1P0_S3
Y24,UNCORE_V1P0_S3
Y25,VSS
Y27,CORE_VCC_S3
Y29,CORE_VCC_S3
Y30,CORE_VCC_S3
Y32,CORE_V1P05_S3
Y33,VSS
Y35,DRAM_V1P0_S3
Y36,DRAM_V1P0_S3
Y38,DRAM_VDD_S4
Y40,DRAM0_DQ[42]
Y41,VSS
Y42,DRAM0_DQ[46]
Y44,VSS
Y45,DRAM0_DQ[55]
Y47,DRAM0_DQSP[6]
Y48,DRAM0_DQSN[6]
Y50,DRAM0_DM[6]
Y51,DRAM0_DQ[61]
Y52,DRAM0_DM[7]
AA1,VSS
AA3,VSS
AA16,VSS
AA18,USB_ULPI_V1P8_G3
AA19,VSS
AA21,VSS
AA22,TP2_CORE_VCC_S3
AA24,UNCORE_VNN_S3
AA25,UNCORE_V1P35_S3_F5
AA27,CORE_VCC_S3
AA29,CORE_VCC_S3
AA30,CORE_VCC_S3
AA32,VSS
AA33,CORE_V1P05_S3
AA35,VSS
AA36,DRAM_V1P0_S3
AA38,VSS
AA51,DRAM0_DQSN[7]
AA53,VSS
AB2,RESERVED
AB3,RESERVED
AB4,VSS
AB6,VSS
AB7,RESERVED
AB9,RESERVED
AB10,VSS
AB12,MCSI1_DP[0]
AB13,MCSI1_DN[0]
AB14,RESERVED
AB40,DRAM0_DQ[47]
AB41,VSS
AB42,DRAM_CORE_PWROK
AB44,DRAM0_DQ[54]
AB45,VSS
AB47,VSS
AB48,VSS
AB50,VSS
AB51,VSS
AB52,DRAM0_DQSP[7]
AC1,DDI1_TXN[3]
AC3,DDI1_TXP[3]
AC16,VSS
AC18,VSS
AC19,VSS
AC21,VSS
AC22,UNCORE_VNN_S3
AC24,UNCORE_VNN_S3
AC25,VSS
AC27,CORE_VCC_S3
AC29,CORE_VCC_S3
AC30,CORE_VCC_S3
AC32,CORE_V1P05_S3
AC33,VSS
AC35,VSS
AC36,VSS
AC38,VSS
AC51,DRAM0_DQ[59]
AC53,DRAM0_DQ[58]
AD2,DDI1_TXN[2]
AD3,DDI1_TXP[2]
AD4,RESERVED
AD6,RESERVED
AD7,VSS
AD9,RESERVED
AD10,RESERVED
AD12,RESERVED
AD13,ICLK_RCOMP
AD14,ICLK_ICOMP
AD16,MIPI_V1P24_S3
AD18,MIPI_V1P24_S3
AD19,VSS
AD21,VSS
AD22,UNCORE_VNN_S3
AD24,UNCORE_VNN_S3
AD25,VSS
AD27,CORE_VCC_S3
AD29,CORE_VCC_S3
AD30,CORE_VCC_S3
AD32,VSS
AD33,VSS
AD35,DRAM_V1P0_S3
AD36,DRAM_V1P35_S3_F1
AD38,DRAM_VDD_S4
AD40,RESERVED
AD41,RESERVED
AD42,DRAM_VDD_S4_PWROK
AD44,DRAM_RCOMP[0]
AD45,DRAM_RCOMP[2]
AD47,VSS
AD48,DRAM0_DQ[50]
AD50,DRAM0_DQ[51]
AD51,DRAM0_DQ[63]
AD52,DRAM0_DQ[62]
AE1,VSS
AE3,VSS
AE4,VSS
AE6,VSS
AE8,VSS
AE9,VSS
AE11,VSS
AE12,VSS
AE14,VSS
AE40,VSS
AE42,VSS
AE43,VSS
AE45,VSS
AE46,VSS
AE48,VSS
AE50,VSS
AE51,VSS
AE53,VSS
AF2,DDI1_TXN[1]
AF3,DDI1_TXP[1]
AF4,PCIE_CLKP[0]
AF6,PCIE_CLKN[0]
AF7,PCIE_CLKP[1]
AF9,PCIE_CLKN[1]
AF10,VSS
AF12,VSS
AF13,RESERVED
AF14,RESERVED
AF16,UNCORE_V1P0_S3
AF18,UNCORE_V1P0_S3
AF19,UNCORE_V1P35_S3_F6
AF21,UNCORE_V1P0_S3
AF22,UNCORE_VNN_S3
AF24,UNCORE_VNN_S3
AF25,VSS
AF27,CORE_VCC_S3
AF29,CORE_VCC_S3
AF30,TP_CORE_V1P05_S4
AF32,VSS
AF33,CORE_V1P05_S3
AF35,DRAM_V1P0_S3
AF36,DRAM_V1P0_S3
AF38,DRAM_VDD_S4
AF40,RESERVED
AF41,RESERVED
AF42,ICLK_DRAM_TERM[0]
AF44,DRAM_VREF
AF45,DRAM_RCOMP[1]
AF47,VSS
AF48,DRAM1_DQ[50]
AF50,DRAM1_DQ[51]
AF51,DRAM1_DQ[63]
AF52,DRAM1_DQ[62]
AG1,DDI1_TXN[0]
AG3,DDI1_TXP[0]
AG16,VSS
AG18,ICLK_V1P35_S3_F2
AG19,UNCORE_V1P35_S3_F1
AG21,UNCORE_V1P0_S3
AG22,UNCORE_VNN_S3
AG24,UNCORE_VNN_S3
AG25,VSS
AG27,CORE_VCC_S3
AG29,CORE_VCC_S3
AG30,CORE_VCC_S3
AG32,UNCORE_V1P35_S3_F2
AG33,CORE_V1P05_S3
AG35,CORE_V1P05_S3
AG36,VSS
AG38,VSS
AG51,DRAM1_DQ[59]
AG53,DRAM1_DQ[58]
AH2,RSVD_GND[3]
AH3,RSVD_GND[2]
AH4,VSS
AH6,VSS
AH7,VSS
AH9,VSS
AH10,ICLK_OSCOUT
AH12,ICLK_OSCIN
AH13,RESERVED
AH14,RESERVED
AH40,DRAM1_DQ[47]
AH41,VSS
AH42,ICLK_DRAM_TERM[1]
AH44,DRAM1_DQ[54]
AH45,VSS
AH47,VSS
AH48,VSS
AH50,VSS
AH51,VSS
AH52,DRAM1_DQSP[7]
AJ1,VSS
AJ3,VSS
AJ16,VSS
AJ18,DDI_V1P0_S3
AJ19,ICLK_V1P35_S3_F1
AJ21,VSS
AJ22,UNCORE_VNN_S3
AJ24,UNCORE_VNN_S3
AJ25,VSS
AJ27,VSS
AJ29,VSS
AJ30,VSS
AJ32,VSS
AJ33,VSS
AJ35,VSS
AJ36,DRAM_V1P0_S3
AJ38,VSS
AJ51,DRAM1_DQSN[7]
AJ53,VSS
AK2,DDI1_AUXN
AK3,DDI1_AUXP
AK4,PCIE_CLKN[2]
AK6,PCIE_CLKP[2]
AK7,RESERVED
AK9,RESERVED
AK10,VSS
AK12,DDI_RCOMP_P
AK13,DDI_RCOMP_N
AK14,VSS
AK16,VSS
AK18,PCIE_V1P0_S3
AK19,DDI_V1P0_S3
AK21,DDI_V1P0_S3
AK22,UNCORE_VNN_S3
AK24,UNCORE_VNN_S3
AK25,UNCORE_VNN_S3
AK27,UNCORE_VNN_S3
AK29,UNCORE_VNN_S3
AK30,UNCORE_VNN_S3
AK32,UNCORE_VNN_S3
AK33,VSS
AK35,DRAM_V1P0_S3
AK36,DRAM_V1P0_S3
AK38,DRAM_VDD_S4
AK40,DRAM1_DQ[42]
AK41,VSS
AK42,DRAM1_DQ[46]
AK44,VSS
AK45,DRAM1_DQ[55]
AK47,DRAM1_DQSP[6]
AK48,DRAM1_DQSN[6]
AK50,DRAM1_DM[6]
AK51,DRAM1_DQ[61]
AK52,DRAM1_DM[7]
AL1,DDI0_AUXN
AL3,DDI0_AUXP
AL51,DRAM1_DQ[57]
AL53,DRAM1_DQ[60]
AM2,RSVD_GND[1]
AM3,RSVD_GND[0]
AM4,PCIE_CLKN[3]
AM6,PCIE_CLKP[3]
AM7,VSS
AM9,RESERVED
AM10,RESERVED
AM12,VSS
AM13,RESERVED
AM14,RESERVED
AM16,DDI_V1P0_S3
AM18,PCIE_V1P0_S3
AM19,VSS
AM21,PCIE_V1P0_S3
AM22,UNCORE_VNN_S3
AM24,VSS
AM25,VSS
AM27,LPC_V1P8V3P3_S3
AM29,VSS
AM30,UNCORE_V1P8_S3
AM32,HDA_LPE_V1P5V1P8_S3
AM33,VSS
AM35,VSS
AM36,VSS
AM38,DRAM_VDD_S4
AM40,VSS
AM41,DRAM1_DQ[43]
AM42,DRAM1_DM[5]
AM44,VSS
AM45,DRAM1_DQ[48]
AM47,DRAM1_DQ[49]
AM48,DRAM1_DQ[52]
AM50,DRAM1_DQ[53]
AM51,VSS
AM52,DRAM1_DQ[56]
AN1,VSS
AN3,VSS
AN5,VSS
AN6,VSS
AN8,VSS
AN9,VSS
AN11,VSS
AN12,VSS
AN14,VSS
AN16,VSSA
AN18,PCIE_SATA_V1P0_S3
AN19,SATA_V1P0_S3
AN21,PCIE_V1P0_S3
AN22,VSS
AN24,VGA_V3P3_S3
AN25,GPIO_V1P0_S3
AN27,SD3_V1P8V3P3_S3
AN29,UNCORE_V1P0_S3
AN30,UNCORE_V1P0_S3
AN32,UNCORE_V1P8_S3
AN33,VSS
AN35,VSS
AN36,VSS
AN38,VSS
AN40,VSS
AN42,VSS
AN43,VSS
AN45,VSS
AN46,VSS
AN48,VSS
AN49,VSS
AN51,VSS
AN53,VSS
AP2,DDI0_TXN[3]
AP3,DDI0_TXP[3]
AP4,PCIE_TXN[3]
AP6,PCIE_TXP[3]
AP7,PCIE_RXN[3]
AP9,PCIE_RXP[3]
AP10,PCIE_RXN[2]
AP12,PCIE_RXP[2]
AP13,PCIE_RCOMP_N
AP14,PCIE_RCOMP_P
AP40,VSS
AP41,DRAM1_ODT[0]
AP42,DRAM1_DQSP[5]
AP44,DRAM1_DQSN[5]
AP45,DRAM1_DQ[41]
AP47,DRAM1_DQ[40]
AP48,DRAM1_DQ[44]
AP50,DRAM1_DQ[45]
AP51,DRAM1_DQ[35]
AP52,DRAM1_DQ[34]
AR1,DDI0_TXN[2]
AR3,DDI0_TXP[2]
AR51,DRAM1_DQ[38]
AR53,DRAM1_DQ[39]
AT2,DDI0_TXP[1]
AT3,DDI0_TXN[1]
AT4,VSS
AT6,PCIE_TXN[2]
AT7,PCIE_TXP[2]
AT9,PCIE_RXN[1]
AT10,PCIE_RXP[1]
AT12,VSS
AT13,PCIE_RXN[0]
AT14,PCIE_RXP[0]
AT16,VSS
AT18,SATA_RCOMP_N
AT19,VSS
AT20,MMC1_D[3]
AT22,MMC1_CLK
AT24,VSS
AT26,MMC1_D[6]
AT27,VSS
AT28,SD3_D[0]
AT30,VSS
AT32,SIO_PWM[1]
AT34,RESERVED
AT35,VSS
AT36,DRAM1_DQ[17]
AT38,VSS
AT40,DRAM1_DQ[19]
AT41,DRAM1_DRAMRST#
AT42,DRAM1_ODT[2]
AT44,DRAM1_CS[0]#
AT45,DRAM1_CS[2]#
AT47,VSS
AT48,DRAM1_CKN[2]
AT50,DRAM1_CKP[2]
AT51,DRAM1_DM[4]
AT52,VSS
AU1,VSS
AU3,VSS
AU16,SATA_RXP[0]
AU18,SATA_RCOMP_P
AU20,MMC1_D[7]
AU22,MMC1_D[1]
AU24,VSS
AU26,MMC1_D[5]
AU28,SD3_D[2]
AU30,VSS
AU32,SIO_PWM[0]
AU34,SIO_UART1_RXD
AU36,DRAM1_DQ[16]
AU38,VSS
AU51,VSS
AU53,DRAM1_DQSP[4]
AV2,DDI0_TXN[0]
AV3,DDI0_TXP[0]
AV4,PCIE_TXN[1]
AV6,PCIE_TXP[1]
AV7,VSS
AV9,RESERVED
AV10,RESERVED
AV12,VSS
AV13,VSS
AV14,VSS
AV16,SATA_RXN[0]
AV18,VSS
AV19,VSS
AV20,MMC1_D[0]
AV22,MMC1_D[2]
AV24,VSS
AV26,MMC1_CMD
AV27,VSS
AV28,SD3_CMD
AV30,VSS
AV32,SIO_SPI_CS#
AV34,SIO_UART1_TXD
AV35,VSS
AV36,DRAM1_DQ[21]
AV38,VSS
AV40,DRAM1_DQ[18]
AV41,DRAM_VDD_S4
AV42,DRAM_VDD_S4
AV44,DRAM1_CAS#
AV45,DRAM1_RAS#
AV47,VSS
AV48,DRAM1_CKN[0]
AV50,DRAM1_CKP[0]
AV51,VSS
AV52,DRAM1_DQSN[4]
AW1,VGA_IREF
AW3,VSS
AW13,VSS
AW19,VSS
AW27,VSS
AW35,VSS
AW41,DRAM1_MA[02]
AW51,DRAM1_DQ[36]
AW53,DRAM1_DQ[37]
AY2,VGA_BLUE
AY3,VGA_IRTN
AY4,VSS
AY6,PCIE_TXN[0]
AY7,PCIE_TXP[0]
AY9,VSS
AY10,VSS
AY12,SATA_LED#
AY14,SATA_GP[1]
AY16,SATA_RXP[1]
AY18,MMC1_RCOMP
AY20,SD2_D[0]
AY22,VSS
AY24,MMC1_D[4]
AY26,SD3_CLK
AY28,SIO_SPI_MOSI
AY30,SIO_SPI_CLK
AY32,VSS
AY34,SIO_UART1_CTS#
AY36,VSS
AY38,DRAM1_DQSN[2]
AY40,DRAM1_DQ[23]
AY42,DRAM1_DQ[22]
AY44,DRAM1_BS[1]
AY45,DRAM1_MA[00]
AY47,DRAM1_BS[0]
AY48,DRAM1_MA[10]
AY50,VSS
AY51,DRAM1_DQ[33]
AY52,DRAM1_DQ[32]
BA1,VGA_GREEN
BA3,VGA_RED
BA12,SATA_GP[0]
BA14,VSS
BA16,SATA_RXN[1]
BA18,SD2_CLK
BA19,VSS
BA20,SD2_D[2]
BA22,VSS
BA24,MMC1_RST#
BA26,SD3_D[3]
BA27,VSS
BA28,SIO_SPI_MISO
BA30,LPE_I2S2_FRM
BA32,VSS
BA34,SIO_UART1_RTS#
BA35,VSS
BA36,DRAM1_DQ[20]
BA38,DRAM1_DQSP[2]
BA40,VSS
BA42,DRAM1_DQ[02]
BA51,DRAM1_MA[13]
BA53,VSS
BB3,RESERVED
BB4,RESERVED
BB5,RSVD_GND[6]
BB7,RSVD_GND[7]
BB8,UNCORE_VNN_SENSE
BB10,RSVD_GND[4]
BB19,VSS
BB27,VSS
BB35,VSS
BB44,DRAM1_MA[03]
BB46,DRAM_VDD_S4
BB47,DRAM1_MA[01]
BB49,DRAM1_MA[06]
BB50,DRAM1_MA[04]
BB51,DRAM1_WE#
BC1,VGA_DDCCLK
BC2,VGA_DDCDATA
BC10,RSVD_GND[5]
BC12,GPIO_S0_SC[056]
BC14,GPIO_S0_SC[058]
BC16,GPIO_S0_SC[061]
BC18,SD2_CMD
BC20,VSS
BC22,VSS
BC24,SD3_CD#
BC26,VSS
BC28,VSS
BC30,LPE_I2S2_DATAOUT
BC32,VSS
BC34,VSS
BC36,DRAM1_DM[2]
BC38,DRAM1_DQ[04]
BC40,DRAM1_DQ[01]
BC42,VSS
BC44,DRAM1_DQ[07]
BC52,DRAM1_MA[08]
BC53,DRAM1_MA[05]
BD1,VGA_V1P35_S3_F1
BD2,VGA_HSYNC
BD5,SD3_WP
BD7,PCIE_CLKREQ[1]#
BD10,SATA_TXP[1]
BD12,GPIO_S0_SC[055]
BD14,GPIO_S0_SC[057]
BD16,GPIO_S0_SC[060]
BD18,SD2_D[3]_CD#
BD19,VSS
BD20,SD2_D[1]
BD22,SD3_PWREN#
BD24,VSS
BD26,SD3_D[1]
BD27,VSS
BD28,LPE_I2S2_DATAIN
BD30,VSS
BD32,SIO_UART2_RTS#
BD34,SIO_UART2_TXD
BD35,VSS
BD36,DRAM1_DQ[05]
BD38,DRAM1_DM[0]
BD40,DRAM1_DQSN[0]
BD42,DRAM1_DQ[03]
BD44,DRAM1_CKE[2]
BD47,DRAM1_MA[12]
BD49,DRAM_VDD_S4
BD52,DRAM_VDD_S4
BD53,DRAM_VDD_S4
BE1,VSS
BE2,VSS
BE3,PCIE_CLKREQ[3]#
BE8,VSS
BE19,VSS
BE35,VSS
BE46,RESERVED
BE51,DRAM1_MA[11]
BE52,DRAM1_MA[09]
BE53,VSS
BF2,VGA_VSYNC
BF4,VSS
BF6,SATA_TXP[0]
BF10,SATA_TXN[1]
BF12,VSS
BF14,GPIO_S0_SC[059]
BF16,VSS
BF18,LPC_RCOMP
BF20,HDA_LPE_RCOMP
BF22,SD3_1P8EN
BF24,VSS
BF26,SD3_RCOMP
BF27,SIO_I2C4_DATA
BF28,LPE_I2S2_CLK
BF30,VSS
BF32,SIO_UART2_CTS#
BF34,SIO_UART2_RXD
BF36,VSS
BF38,VSS
BF40,DRAM1_DQSP[0]
BF42,DRAM1_DQ[06]
BF44,DRAM_VDD_S4
BF48,RESERVED
BF50,DRAM1_MA[07]
BF52,DRAM1_BS[2]
BG1,VSS
BG3,PCIE_CLKREQ[0]#
BG5,PCIE_CLKREQ[2]#
BG7,SATA_TXN[0]
BG9,PMC_RSTBTN#
BG11,PCU_SMB_ALERT#
BG12,PCU_SMB_DATA
BG13,ILB_LPC_SERIRQ
BG14,ILB_LPC_AD[3]
BG15,ILB_LPC_CLK[0]
BG16,ILB_LPC_CLKRUN#
BG17,ILB_LPC_FRAME#
BG18,GPIO_S0_SC[015]
BG19,HDA_SDI[0]
BG20,HDA_SDO
BG21,HDA_SDI[1]
BG22,HDA_RST#
BG23,SIO_I2C0_CLK
BG24,SIO_I2C1_DATA
BG25,SIO_I2C2_DATA
BG26,SIO_I2C3_DATA
BG27,SIO_I2C4_CLK
BG28,SIO_I2C5_CLK
BG29,SIO_I2C6_CLK
BG30,GPIO_S0_SC[093]
BG31,VSS
BG32,DRAM1_DQ[09]
BG33,DRAM1_DQ[12]
BG34,VSS
BG35,DRAM1_DQSP[1]
BG36,DRAM1_DQ[10]
BG37,DRAM1_DQ[14]
BG38,DRAM1_DQ[00]
BG39,VSS
BG40,DRAM1_DQ[28]
BG41,DRAM1_DQ[25]
BG42,VSS
